Spirited Girl (Labrys's Theme),Persona 4 Arena,Persona,https://youtu.be/rXVUquGGkLU
Break Out Of...,Persona 4 Arena Ultimax,Persona,https://youtu.be/_e2XYzBFzxU
Mr. Easy-Going Man (Junpei's Theme),Persona 4 Arena Ultimax,Persona,https://youtu.be/_Eh67pxeWMc
Pink Sniper (Yukari's Theme),Persona 4 Arena Ultimax,Persona,https://youtu.be/XkU17cSdBw4
A Fool or Clown? (Adachi's Theme),Persona 4 Arena Ultimax,Persona,https://youtu.be/p5-3EQ0itcY
Twinkle☆Star (Rise's Theme),Persona 4 Arena Ultimax,Persona,https://youtu.be/BBMulc7Kokw
Blood Red Moon (Minazuki's Theme),Persona 4 Arena Ultimax,Persona,https://youtu.be/DoD8D78FI7w
XOXO♥ For You (Marie's Theme),Persona 4 Arena Ultimax,Persona,https://youtu.be/Yy0RX0dC_TE
Battle Hymn for the Soul (Margaret's Theme),Persona 4 Arena Ultimax,Persona,https://youtu.be/5pFMouauRxY
"Wake Up, Get Up, Get Out There (Opening Theme)",Persona 5,Persona,https://youtu.be/SmQ1ZXTHNKA
Phantom,Persona 5,Persona,https://youtu.be/qI_g-fGLT7c
Life Will Change,Persona 5,Persona,https://youtu.be/r47XMimB2sw
Interrogation Room,Persona 5,Persona,https://youtu.be/8dgEOYcxSYU
Tension,Persona 5,Persona,https://youtu.be/pXYWEZvi23o
Will Power,Persona 5,Persona,https://youtu.be/KfeLWYThNAk
King Queen and Slave,Persona 5,Persona,https://youtu.be/jSvDbFcSfvs
Last Surprise,Persona 5,Persona,https://youtu.be/qOp4TZeZ8mY
Victory,Persona 5,Persona,https://youtu.be/qMrqZuI-PuQ
Confession/Secret,Persona 5,Persona,https://youtu.be/kx_oOxoZKk0
Layer Cake,Persona 5,Persona,https://youtu.be/TFJxgfPYiMI
Blooming Villain,Persona 5,Persona,https://youtu.be/E8l57E8OKdI
Beneath the Mask,Persona 5,Persona,https://youtu.be/SlUYv-CUoOo
Tokyo Daylight,Persona 5,Persona,https://youtu.be/gyHTjoSI5qc
Butterfly Kiss,Persona 5,Persona,https://youtu.be/fTM2j1LWUa4
Mementos,Persona 5,Persona,https://youtu.be/e_57t7Z3ocQ
Have a Short Rest,Persona 5,Persona,https://youtu.be/h70aqe6oIik
My Homie,Persona 5,Persona,https://youtu.be/DiWKPohcvsE
A Woman,Persona 5,Persona,https://youtu.be/U4GtfoTffJc
Sunset Bridge,Persona 5,Persona,https://youtu.be/2dEMtYnUDSY
Beneath the Mask -rain-,Persona 5,Persona,https://youtu.be/vNEj8o3v_UQ
Crossroads,Persona 5,Persona,https://youtu.be/VCg87Y1BxvE
Suspicion,Persona 5,Persona,https://youtu.be/MC9yakpJpbI
Price,Persona 5,Persona,https://youtu.be/bwpMx6BOJ78
Keeper of Lust,Persona 5,Persona,https://youtu.be/tRag8osHZJs
Life Goes On,Persona 5,Persona,https://youtu.be/V6jfcfav7IU
The Days When My Mother Was There,Persona 5,Persona,https://youtu.be/jQXsCphBpw8
